song_id,song_name,song_length,tempo,total_beats,average_beats,zcr_mean,zcr_var,zcr_std,cent_mean,cent_var,cent_std,rolloff_mean,rolloff_var,rolloff_std,chroma_mean,chroma_var,chroma_std,chroma_cqt_mean,chroma_cqt_var,chroma_cqt_std,chroma_cens_mean,chroma_cens_var,chroma_cens_std,mfccs_mean,mfccs_var,mfccs_std,mfcc_delta_mean,mfcc_delta_var,mfcc_delta_std,mel_mean,mel_var,mel_std,tonnetz_mean,tonnetz_var,tonnetz_std,spec_bw_mean,spec_bw_var,spec_bw_std,spec_con_mean,spec_con_var,spec_con_std,harmonic_mean,harmonic_var,harmonic_std,percussive_mean,percussive_var,percussive_std,genre
699,Cypress Hill - EZ Come EZ Go,244.950204,122.93545330685929,37114.833701250915,,0.10020163717965913,0.002763239555233228,0.048230266762633485,2186.9237527097707,494111.67722598923,652.5971952816737,4554.78765426497,2099810.9070746885,1355.5696005340894,0.5938578639467295,0.05003852391172806,0.22166750722066544,0.4973851529205922,0.0723958329544691,0.26821625875115224,0.2566130210335299,0.01705571904866394,0.12773104211671274,-0.2401861075618228,1134.7911672809705,30.235785395893828,0.00016479658335933345,4.990953471772017,2.1193394556564824,9.560629535770612,7086.637793839268,60.70636457208838,0.00240041429710886,0.006641750291960586,0.08009050266885487,2273.2784746701127,167217.8904959069,383.3877794847833,20.901626332977358,46.349215164583036,6.7604077903848925,-0.000374200368084603,0.024275775782241167,0.1385151754426278,-0.0002466525253956941,0.009018521804239798,0.08403727180881157,hiphop
700,Cypress Hill - Hand On the Pump,242.364082,122.90084428572216,37104.89933872153,,0.1001848346842923,0.002762602212722962,0.048228929954318205,2186.8583234954917,494061.8161654821,652.610165918106,4554.555637955239,2099277.4927215017,1355.4798389974494,0.5939646131365199,0.05002318314994459,0.22163359894198936,0.497501382456721,0.07238727299221444,0.26820121519152545,0.25663608741411564,0.017044145394621676,0.12768407927476247,-0.2398308192887518,1133.9790168106338,30.22679655381987,0.00016447062971806182,4.9924532062292615,2.119811760950053,9.560223188281274,7082.633620880949,60.7141270592805,0.002421711350436945,0.006636894818343472,0.08005770319667398,2273.343762906009,167180.20351522465,383.37031067563163,20.900225974011107,46.35712662964793,6.761042100281483,-0.00037389495933094964,0.024269270670239027,0.13851865647714925,-0.00024872224756011834,0.009019184727241504,0.08405672574346887,hiphop
701,Cypress Hill - How I Could Just Kill a Man,247.588571,122.86633683177843,37097.53558327219,,0.10019276268959944,0.002768234357685328,0.04827722653731202,2187.3416747067167,494636.9325280969,653.0334527265427,4555.521381914397,2100355.413556484,1355.9567151482531,0.5940694840664559,0.05000838087167883,0.22160160210276034,0.4974704308485707,0.07240007033340982,0.268225484060011,0.25663306240548506,0.017046300536504647,0.1276961405590436,-0.2366359368214685,1133.2119078268836,30.21863952421215,0.000166660937713693,4.996019424647858,2.1206877729250766,9.563743205654859,7087.218779813764,60.773111038403776,0.0024118634678678896,0.00663552957820216,0.08005090935503681,2273.622407151076,167205.479540927,383.43187442792185,20.898914842699146,46.37210241328138,6.762156855376675,-0.0003737703546447768,0.02428379514396695,0.13858660295859618,-0.00025170374237334025,0.009018673012483323,0.08407001711185795,hiphop
702,Cypress Hill - I Ain't Goin' Out Like That,264.75102000000004,122.83193049857883,37088.73626373627,,0.10013944061078303,0.0027654298675526237,0.04824929248106676,2187.491345203182,494383.6567978374,652.9077237405695,4556.416006264193,2098963.9952713815,1355.5406255745922,0.5942214006687695,0.04998311249218581,0.2215421057336933,0.4973721913319394,0.0724153811218706,0.2682542177095082,0.2566331343456281,0.017046888396084075,0.12770257522966413,-0.23348272865256056,1132.2949236971115,30.207365576076857,0.00016367058296158602,4.997208328757967,2.121105675208263,9.572122074183213,7095.236310676673,60.84826599380981,0.002388497227976696,0.006636467770777712,0.08005859603215966,2273.928924026648,167100.80283201206,383.3216441613242,20.898800219423162,46.39421003602505,6.763735540769918,-0.00037323834576055183,0.0243170018924988,0.13870101380154212,-0.00025143662405461767,0.009015785267180098,0.08406974553203088,hiphop
703,Cypress Hill - Insane In the Brain,206.942041,122.80344102455021,37080.92831016825,,0.10016121268334996,0.0027730987563376035,0.04830882568846944,2187.515195723356,494835.20197054656,653.2455888651238,4555.9108776924295,2098650.164406823,1355.5099776762704,0.5942803720051822,0.04998573765224057,0.221550864639645,0.4973845577783885,0.07242561698739718,0.2682738485746829,0.2566382932527531,0.01704482476973346,0.1276983291169275,-0.2333419535417401,1131.9451667992146,30.20676070578185,0.00016138781210101868,5.003858185743186,2.122514052991023,9.573857227079994,7098.963882983542,60.90213843872346,0.002369479434023941,0.006635224953943476,0.08005266737882367,2273.5304879359824,167054.85607335568,383.28818963042295,20.89871500248196,46.42302862136509,6.7657322844139385,-0.000372729552178558,0.02432684984733241,0.138755548247805,-0.00025122321048307765,0.009015750406668929,0.08408537901129468,hiphop
704,Cypress Hill - Latin Lingo,239.54285699999997,122.75885624036532,37067.71804236669,,0.10010261731362403,0.0027720529810548234,0.04830280627817648,2187.112894511548,494878.72315393615,653.3127410380126,4555.335362315256,2098868.6704822136,1355.6643032075604,0.5943998528319262,0.04997123172404646,0.22151950172606485,0.4973532168682575,0.07244089056716561,0.2683024592961535,0.25662179983297145,0.017053716490714774,0.127733884877954,-0.22906185307766536,1131.3404242193028,30.201769633742472,0.00016208384872316365,5.005367048144602,2.122997499278551,9.575291895410233,7097.427617823391,60.9267720752043,0.002374659985640413,0.006632177327539814,0.08003397873111191,2273.554236735084,167042.3902290962,383.2968418497823,20.895882202123,46.418822321150074,6.765488344200747,-0.0003725237743257437,0.02433356792656436,0.13880130289529055,-0.0002542349736806302,0.009014238402718805,0.08409303173687645,hiphop
705,Cypress Hill - Latin Thugs,226.56,122.78171383064196,37077.6170678337,,0.10014104269037297,0.0027725813172711448,0.048313944250997776,2187.5908147243786,494803.56048572133,653.3301357478211,4556.112878262746,2098283.2919468246,1355.5872593258212,0.5944854312139563,0.04996290811378968,0.22150323089459445,0.4974701760751592,0.07243400471688374,0.2682906859411993,0.25664255460931923,0.017043387881377308,0.12769320152861904,-0.22760674660620545,1130.398882831821,30.18986824043992,0.00016047172363035884,5.005084803663493,2.123097281922049,9.578658442577373,7111.250886535992,61.025652296342976,0.0023580896555585287,0.0066265686243774154,0.07999419425068098,2273.651522977989,166936.4905421072,383.18592756342,20.895198700269333,46.44037767858968,6.767030576581835,-0.0003719581899130808,0.02432907335483904,0.13881141834349348,-0.0002540477016263498,0.009026446096444832,0.08416248307483404,hiphop
706,Cypress Hill - Latin Thugs (Reggaeton Mix),217.991837,122.7596953336199,37072.279679533865,,0.10012574742432406,0.002773429129804417,0.04832737849118568,2187.5480679650173,494797.246688465,653.3980313093355,4555.991715827233,2098006.7576211626,1355.6243821190078,0.594511519338819,0.049967324210619814,0.22151585707938853,0.4974564780657069,0.07245202622693428,0.2683240749796955,0.2566403850501773,0.017045116664497432,0.12770387302823655,-0.2245639726809224,1129.7786619071096,30.184495821019983,0.00016361976031237894,5.012491450571093,2.124631105941833,9.585178866890116,7114.051319398833,61.07515552220674,0.0023531689030503,0.006625620202511803,0.07999026142247434,2273.653156592641,166877.908496896,383.1461800674034,20.89398697775832,46.45368346516074,6.768027497421065,-0.0003710278840609946,0.024333592238330055,0.13885025776767826,-0.0002538648415627994,0.009047028768015991,0.08426152271194375,hiphop
707,Cypress Hill - The Only Way,221.831837,122.78248520858921,37073.93818181819,,0.10008195533389663,0.002771756158699565,0.048315686658546624,2187.4029853823567,495055.034184625,653.6398958157189,4556.107828746697,2099615.575430883,1356.2561829312694,0.5945295259519057,0.049962843087586487,0.22150859366763725,0.497387070583885,0.07247107921668966,0.26835922429112763,0.2566090847938539,0.017061125084045083,0.12776173229000992,-0.21965559596331288,1128.960358231978,30.175222272699532,0.00016526396882506409,5.013628621556542,2.12503165548498,9.596747576502144,7146.116626854707,61.23465005362755,0.0023705752669447304,0.006624630262562888,0.07998606258210315,2273.8662954115507,167009.52149257335,383.3267790355577,20.893991847386182,46.45441845635339,6.768150077332263,-0.0003696565300894952,0.0243551766221829,0.1389358956608154,-0.0002541424928340348,0.009059654980890385,0.08433241215091733,hiphop
708,Cypress Hill - Throw Your Set In the Air,245.73387799999998,122.73818988693544,37061.70806100218,,0.1001017736804228,0.002774716184454289,0.048346126841222366,2187.6181985774833,495117.02184444974,653.7553475403869,4556.502833597936,2098846.7730270186,1356.105781418434,0.5945869449826368,0.04995808049971501,0.22150068593224329,0.4973862774021817,0.07248589396407908,0.2683870460294554,0.256609368645267,0.017061595060253388,0.12776767031172745,-0.21691130458755373,1128.0764576254676,30.16449227191092,0.00016745569951434082,5.014955927538716,2.125481188340557,9.595078191168641,7140.493497108912,61.22880355715822,0.0023945134147011662,0.006622269278556504,0.07997258130507237,2274.057459101984,166923.50576471945,383.24686411118284,20.89360058289336,46.46131216368781,6.768712631793108,-0.00036902244125096696,0.02434295292036684,0.1389174453854896,-0.00025279841586543306,0.009065268043835072,0.08437502774855178,hiphop
709,D-Wayne - Loving You Always (Black Caviar Remix) (Feat. Jack Mcmanus),156.917551,122.74756048717195,37062.56852791878,,0.10013331657195973,0.002782935960159141,0.0484091842868806,2188.7163853199845,496618.29606709204,654.6004496235255,4558.979423144311,2102467.1976650204,1357.246462643532,0.5946198882314933,0.04996804723636322,0.2215251300411003,0.4974411333532788,0.07248351921175819,0.26838383354136514,0.25662189834343424,0.017055670361968374,0.12774757869802172,-0.21184179687094512,1127.079765037664,30.151193916840853,0.000161432483631699,5.020386771610286,2.126690077816256,9.604354110687467,7169.518187581742,61.37898730064306,0.002400105222684193,0.006617423069503455,0.07993958784458455,2274.860470737729,167017.5755932298,383.38809830530937,20.8927423636575,46.465743160302715,6.7691013324978435,-0.0003684881629634327,0.02436596165766356,0.1390067833480744,-0.0002523878764478673,0.009075015157242957,0.08443486259925558,dance
710,Da Vinci's Lion - Boomba,199.314286,122.71372479410299,37052.96669080377,,0.100225815465487,0.002791760663979874,0.04847551343407756,2190.2740121782945,497486.3062402101,655.1669886555958,4561.621098462642,2104269.966584225,1357.9304222746687,0.5947512151062445,0.04995656771225225,0.2215006074704268,0.49753207488185397,0.072482073431127,0.2683823386190678,0.2566398177191235,0.017046863536733226,0.12771427113993833,-0.2115200283319421,1126.4804134272215,30.145877153781942,0.00015700547558084355,5.028217591577298,2.1282605801174213,9.59515366310502,7159.830133714408,61.32175285629379,0.002399899196746782,0.0066138260201923215,0.0799167495554571,2275.526349038018,167139.98698683234,383.55868806949945,20.890973075816234,46.46775479681357,6.769316551006197,-0.00036794473839320784,0.02433911149145857,0.13891508703343053,-0.00025200678675289,0.009072381355316808,0.08443594489808562,reggae
711,DaBaby - BOP,159.764898,122.72310367184109,37053.77006507592,,0.10026970103585307,0.0028054136636393714,0.04856524248558916,2191.393435410539,499332.8286067614,656.1453385181018,4563.704956484944,2107603.4032570203,1359.0014422666084,0.5947643210081113,0.04995540323696185,0.22150088981365,0.4974913686028903,0.07249283402782489,0.2684030527564528,0.2566458257837207,0.017044364872062942,0.12770855229118874,-0.21259802608937287,1125.527886545839,30.13355402487909,0.00016256535285916418,5.034831471509548,2.129659821913024,9.621819223306137,7249.8697186620375,61.61275970125218,0.0024089179787827675,0.00661373484142591,0.079918222867495,2276.149960504512,167250.57358034546,383.7171637074336,20.891734479512472,46.47358795939546,6.7698038896170285,-0.0003681720721610463,0.02441144957448165,0.1391076588083578,-0.0002549853908918266,0.009103798752256607,0.08456754501834464,hiphop
712,DaBaby - Suge,163.369796,122.76537945120646,37067.957400722014,,0.1003058104676058,0.002816214468832413,0.04864147835071477,2192.520303301959,500895.5030454521,657.0134088935434,4566.135075711879,2110438.9651868073,1359.9524092826646,0.5948467742449971,0.04995147851077228,0.22149487090455067,0.497427282793752,0.07251745285316824,0.26844756892201377,0.2566410834967863,0.017047386624945503,0.12772382548247474,-0.2167163175685392,1124.8551582969912,30.12712096135109,0.00016315017943389134,5.046351165311001,2.131793195934502,9.631391267273953,7282.345187423445,61.77271505701485,0.002393546686194723,0.0066148021249511895,0.07992663741084252,2276.90802262814,167299.59956057824,383.8107787181669,20.891650384051765,46.47906937742258,6.770266063021539,-0.000367736918394857,0.024443715370296583,0.13921888469145935,-0.00025635644211369804,0.009115835472543922,0.08463610468265065,hiphop
713,DaBaby - TOES,136.411429,122.82123185781971,37088.725306416716,,0.10029341908181702,0.0028225313023602203,0.04869331194543896,2192.8733888440906,501920.9106788612,657.6534988943894,4567.1356220748185,2113956.0367627367,1361.0657286040546,0.5948988154756137,0.04995191826470997,0.22149863579158047,0.4972968856633325,0.07254289937362401,0.26849344537398284,0.2566169411277381,0.017059913133151347,0.12777049097698998,-0.21563554705552376,1124.163863255639,30.12030893654469,0.00015995893592691353,5.0566611269565485,2.133754617719231,9.667463138500686,7417.651050076765,62.14159352889042,0.0024129085165754704,0.006623234059330259,0.0799723000247947,2277.4013675530928,167407.35472715966,383.9660414721843,20.89167191799795,46.4869970330365,6.7708981603520275,-0.0003670372431086832,0.02453668347926432,0.13944751587849918,-0.0002534677042485494,0.009149960794484695,0.08477497904991392,hiphop
714,DaBaby - VIBEZ,144.979592,122.86324459939571,37104.26061915047,,0.10026808776797501,0.002825676730804729,0.048722167199781376,2193.511161269275,502719.1639166725,658.1825684121252,4569.213066131577,2116127.429063249,1361.8447865013427,0.5949698917680374,0.0499442788504756,0.22148392881052886,0.497155053373856,0.0725695768157276,0.26854136511161714,0.2565871514545777,0.017075191462194845,0.1278260288929725,-0.2123551322526082,1123.2011835964743,30.10767244142624,0.00015314386819830194,5.0618683054474625,2.13492266946426,9.723675756900873,7591.976162180686,62.5680470560126,0.0024080063422578825,0.006630151898666824,0.08001107320578177,2278.222902430339,167470.6670311887,384.07497356050806,20.890812005242328,46.4943540782689,6.771491596958112,-0.0003675226182016007,0.024708954860738,0.13979342666311578,-0.0002568007597304153,0.009191060868869592,0.08493246270600656,hiphop
715,Daddy Yankee - Dura,200.127278,122.82419338501845,37092.27606038821,,0.10025358076478427,0.0028248088907113127,0.04871979139120136,2193.881810776097,502617.0648900305,658.177751484479,4570.501448833576,2116723.216601641,1362.1717197536336,0.594956139816302,0.04995237343350732,0.22150439168591024,0.4971464323806157,0.0725824141413362,0.2685656872374773,0.25659297381360857,0.017072781238931103,0.12782058327450793,-0.2087672863294197,1122.2118309015511,30.094350767512694,0.0001598650649060154,5.06617353086331,2.1359312752868362,9.740241044083696,7617.068623778017,62.705515504393986,0.002386383966749653,0.006629952208242248,0.08001182233677984,2278.72594981074,167475.9952677013,384.1147313046624,20.890126956321886,46.495103179742316,6.771614159223846,-0.0003671329037048587,0.024732785716506337,0.1398845655060506,-0.0002568560432026043,0.009226383125478379,0.08507450767502378,pop
